,instance name,ICBS time,MAPF-encodings time
217,inst-71-1557483814.param,4.6,3.513
218,inst-71-2062904689.param,0.31,2.109
219,inst-71-586273567.param,1.75,2.579
220,inst-71-799324880.param(1),0.91,2.973
221,inst-76-396479326.param,17.87,2.272
222,inst-77-1113505286.param,1.72,3.172
223,inst-77-1155525382.param,3.74,3.122
224,inst-77-1220223230.param,2.17,6.095
225,inst-77-1235825111.param,1.26,3.115
226,inst-77-1259217442.param,2.27,3.871
227,inst-77-1361714622.param,6.94,7.093
228,inst-77-1768974848.param(1),5.35,5.864
229,inst-77-554373760.param,12.63,3.178
